reagent_name,drug_research_usage,reaction_mechanism,reaction_partners,final_reaction_product,safety_precautions,storage_conditions
Triphenylphosphine,Wittig reaction,Nucleophilic attack,Alkyl halides,Phosphonium ylides (Alkene precursor),Irritant,Room Temp
Triton X-100,Detergent; Cell permeabilization,Membrane solubilization,Lipid bilayers,Permeabilized cells,Irritant to eyes,Room Temp
Trypsin,Cell detachment,Proteolysis,Adherent cell proteins,Suspended cells,Sensitizer (Allergy risk),Frozen
Urea,Protein denaturation,Hydrogen bond disruption,Proteins,Unfolded proteins,Low hazard,Room Temp
Water (HPLC Grade),Mobile phase,Solvation,Polar analytes,Eluted compounds,None,Room Temp
Xylene,Histology clearing agent,Solvation of paraffin,Tissue slides,Transparent tissue for microscopy,Flammable; Irritant,Flammables Cabinet
Zinc Dust,Reduction (Clemmensen),Electron transfer,Ketones (in acid),Alkanes,Flammable solid; Pyrophoric,Dry
Zinc Sulfate,Protein precipitation,Ionic interaction,Protein solutions,Precipitated proteins,Eye irritant,Room Temp
1-Butanol,Extraction solvent,Solvation,Polar organic compounds,Extracted layer,Flammable,Flammables Cabinet
2-Mercaptoethanol,Disulfide bond reduction,Reduction of S-S bonds,Proteins,Unfolded proteins (Linear),Stench (Rotten eggs); Toxic,Fume hood
Acetic Acid (Dilute),Buffer; Stop bath,pH adjustment,Basic solutions,Neutralized solution,Irritant,Acid Cabinet
Acrylamide,Gel electrophoresis (PAGE),Polymerization,Bis-acrylamide,Polyacrylamide Gel,Neurotoxic (Cumulative),Cool; Dark
Agarose,Gel electrophoresis (DNA),Gelation,DNA samples,Separated DNA bands,Low hazard,Room Temp
Alizarin Red S,Calcium staining,Chelation,Calcium deposits in tissue,Red-stained calcium,Irritant,Room Temp
Ampicillin,Antibiotic selection,Cell wall synthesis inhibition,Bacteria (E. coli),Plasmid-positive colonies,Sensitizer (Allergy),Fridge
Bromophenol Blue,Tracking dye,Colorimetric visualization,Gel electrophoresis samples,Blue tracking front,Stains,Room Temp
Coomassie Brilliant Blue,Protein staining,Electrostatic binding,Proteins in gels,Blue-stained protein bands,Flammable solvent base,Room Temp
Crystal Violet,Gram staining,Cell wall binding,Gram-positive bacteria,Purple stained bacteria,Carcinogen; Stains,Dark
DAPI,Nuclear stain,DNA minor groove binding,Cell nuclei,Blue fluorescent nuclei,Mutagen,Dark; Fridge
Dextrose (Glucose),Cell culture energy source,Metabolism,Cells,ATP/Energy,Low hazard,Room Temp
Eosin Y,Cytoplasm staining,Ionic binding to proteins,Tissue sections,Pink cytoplasm,Irritant,Room Temp
Ethidium Bromide,DNA visualization,Intercalation into DNA,DNA,Fluorescent DNA bands (UV),Potent Mutagen,Dedicated area
Giemsa Stain,Blood smear staining,Binding to DNA/Proteins,Blood cells,Purple/Blue blood cells,Methanol base (Flammable),Room Temp
Hematoxylin,Nuclear staining,Binding to nucleic acids,Tissue nuclei,Blue/Purple nuclei,Irritant,Dark
HEPES,Cell culture buffer,pH buffering,Cell media,pH stable media,Low hazard,Room Temp
IPTG,Induction of protein expression,Lac repressor inactivation,Engineered bacteria,Expressed recombinant protein,Low hazard,Frozen
Kanamycin,Antibiotic selection,Protein synthesis inhibition,Bacteria,Resistant colonies,Sensitizer,Fridge
Luria Broth (LB),Bacterial growth medium,Nutrient supply,Bacteria,Bacterial culture,Low hazard,Room Temp
Ninhydrin,Amino acid detection,Reaction with free amines,Amino acids (TLC),Purple spots (Ruhemann's purple),Stains skin; Irritant,Spray in hood
Oil Red O,Lipid staining,Solubility in lipids,Fat cells/Lipids,Red lipid droplets,Flammable solvent,Room Temp
Penicillin-Streptomycin,Cell culture antibiotic,Inhibition of bacterial growth,Cell culture media,Sterile cell culture,Sensitizer,Frozen
Phosphate Buffered Saline,Biological buffer,Osmotic balance,Cells/Tissues,Washed/Stable cells,Low hazard,Room Temp
Ponceau S,Protein staining (Blots),Reversible binding,Western blots,Red protein bands,Low hazard,Room Temp
Propidium Iodide,Dead cell stain,Intercalation (membrane impermeant),Dead cells,Red fluorescent dead cells,Mutagen,Dark; Fridge
Sodium Dodecyl Sulfate (SDS),Detergent,Denaturation,Proteins,Linearized negative proteins,Irritant,Room Temp
Trypan Blue,Cell counting dye,Membrane exclusion,Dead cells,Blue dead cells / Clear live cells,Carcinogen,Room Temp
Tween 20,Surfactant; Wash buffer,Surface tension reduction,Western blots (Antibodies),Clean blot background,Low hazard,Room Temp
X-Gal,Blue-White screening,Hydrolysis by Beta-galactosidase,LacZ positive bacteria,Blue colonies,Light sensitive,Frozen; Dark
